id,pvm,suunta,lat,lng,r,g,b
0,2020-03-23 21:00:00,790,60.1877796,24.7581436,250,0,0
1,2020-03-23 21:00:00,1045,60.2088853,24.7910985,250,0,0
2,2020-03-23 21:00:00,826,60.2512498,24.8849425,250,0,0
3,2020-03-23 21:00:00,584,60.3263106,24.8346939,250,0,0
4,2020-03-23 21:00:00,335,60.1263685,24.4885039,250,0,0
5,2020-03-23 21:00:00,363,60.6480993,25.3100725,250,0,0
6,2020-03-23 21:00:00,552,60.2555056,24.5074702,250,0,0
7,2020-03-23 21:00:00,530,60.2237568,24.9661267,250,0,0
8,2020-03-23 21:00:00,299,60.3593343,25.5767997,250,0,0
9,2020-03-23 21:00:00,1438,60.2411679,24.9251123,250,0,0
10,2020-03-23 21:00:00,1373,60.2906574,24.9597444,250,0,0
11,2020-03-23 21:00:00,82,60.6886184,26.7411061,250,0,0
12,2020-03-23 21:00:00,316,60.9441999,25.6746163,250,0,0
13,2020-03-23 21:00:00,350,60.7310063,24.7266041,250,0,0
14,2019-03-25 21:00:00,1569,60.1877796,24.7481436,0,0,250
15,2019-03-25 21:00:00,1892,60.2085274,24.780508,0,0,250
16,2019-03-25 21:00:00,1363,60.2085274,24.780508,0,0,250
17,2019-03-25 21:00:00,1064,60.3281543,24.8243193,0,0,250
18,2019-03-25 21:00:00,509,60.1263685,24.4785039,0,0,250
19,2019-03-25 21:00:00,433,60.6509181,25.298474,0,0,250
20,2019-03-25 21:00:00,450,60.2555056,24.4974702,0,0,250
21,2019-03-25 21:00:00,1218,60.2237568,24.9561267,0,0,250
22,2019-03-25 21:00:00,539,60.3617219,25.5548692,0,0,250
23,2019-03-25 21:00:00,2772,60.2411679,24.9151123,0,0,250
24,2019-03-25 21:00:00,2278,60.2906574,24.9497444,0,0,250
25,2019-03-25 21:00:00,158,60.6886184,26.7311061,0,0,250
26,2019-03-25 21:00:00,474,60.9434228,25.6531033‬,0,0,250
27,2019-03-25 21:00:00,525,60.7310063,24.7166041,0,0,250
